make,model,boom_length,arm_length,CWT,shoe_width,reach,swl
Komatsu,PC450,7.06,3.38,9220,600,3,21700
Komatsu,PC450,7.06,3.38,9220,600,4.5,12600
Komatsu,PC450,7.06,3.38,9220,600,6,9450
Komatsu,PC450,7.06,3.38,9220,600,7.5,6550
Komatsu,PC450,7.06,3.38,9220,600,9,4850
Komatsu,PC450,7.06,3.38,9220,600,Max,3900
Komatsu,PC490,7,3.4,9220,600,3,9950
Komatsu,PC490,7,3.4,9220,600,4.5,12500
Komatsu,PC490,7,3.4,9220,600,6,9300
Komatsu,PC490,7,3.4,9220,600,7.5,8100
Komatsu,PC490,7,3.4,9220,600,9,6050
Komatsu,PC490,7,3.4,9220,600,Max,4950
Komatsu,PC700,6.6,2.9,9350,610,3,25800
Komatsu,PC700,6.6,2.9,9350,610,4.5,20700
Komatsu,PC700,6.6,2.9,9350,610,6,21050
Komatsu,PC700,6.6,2.9,9350,610,7.5,15450
Komatsu,PC700,6.6,2.9,9350,610,9,12250
Komatsu,PC700,6.6,2.9,9350,610,Max,11700
Komatsu,PC700,7.3,3.5,9350,610,3,20050
Komatsu,PC700,7.3,3.5,9350,610,4.5,24500
Komatsu,PC700,7.3,3.5,9350,610,6,20850
Komatsu,PC700,7.3,3.5,9350,610,7.5,15150
Komatsu,PC700,7.3,3.5,9350,610,9,11900
Komatsu,PC700,7.3,3.5,9350,610,Max,10000
Komatsu,PC700,7.6,2.9,9350,610,3,27300
Komatsu,PC700,7.6,2.9,9350,610,4.5,18400
Komatsu,PC700,7.6,2.9,9350,610,6,15050
Komatsu,PC700,7.6,2.9,9350,610,7.5,14900
Komatsu,PC700,7.6,2.9,9350,610,9,11700
Komatsu,PC700,7.6,2.9,9350,610,Max,9350
Komatsu,PC850,8.04,3.6,11850,610,3,24450
Komatsu,PC850,8.04,3.6,11850,610,4.5,21150
Komatsu,PC850,8.04,3.6,11850,610,6,20000
Komatsu,PC850,8.04,3.6,11850,610,7.5,14250
Komatsu,PC850,8.04,3.6,11850,610,9,10550
Komatsu,PC850,8.04,3.6,11850,610,Max,7150
Komatsu,PC850-SE,7.1,2.9,11850,610,3,31850
Komatsu,PC850-SE,7.1,2.9,11850,610,4.5,31350
Komatsu,PC850-SE,7.1,2.9,11850,610,6,22200
Komatsu,PC850-SE,7.1,2.9,11850,610,7.5,15300
Komatsu,PC850-SE,7.1,2.9,11850,610,9,11350
Komatsu,PC850-SE,7.1,2.9,11850,610,Max,9250
Komatsu,PC1250,9.1,3.4,16700,700,4.6,41250
Komatsu,PC1250,9.1,3.4,16700,700,6.1,37300
Komatsu,PC1250,9.1,3.4,16700,700,7.6,30200
Komatsu,PC1250,9.1,3.4,16700,700,9.1,24950
Komatsu,PC1250,9.1,3.4,16700,700,10.7,20500
Komatsu,PC1250,9.1,3.4,16700,700,12.2,17300
Komatsu,PC1250,9.1,3.4,16700,700,Max,16750
Komatsu,PC1250,9.1,4.5,16700,700,4.6,36350
Komatsu,PC1250,9.1,4.5,16700,700,6.1,32350
Komatsu,PC1250,9.1,4.5,16700,700,7.6,31000
Komatsu,PC1250,9.1,4.5,16700,700,9.1,24100
Komatsu,PC1250,9.1,4.5,16700,700,10.7,19750
Komatsu,PC1250,9.1,4.5,16700,700,12.2,16850
Komatsu,PC1250,9.1,4.5,16700,700,Max,14750
Komatsu,PC1250,9.1,5.7,16700,700,6.1,35350
Komatsu,PC1250,9.1,5.7,16700,700,7.6,30400
Komatsu,PC1250,9.1,5.7,16700,700,9.1,23650
Komatsu,PC1250,9.1,5.7,16700,700,10.7,19250
Komatsu,PC1250,9.1,5.7,16700,700,12.2,16200
Komatsu,PC1250,9.1,5.7,16700,700,13.7,14150
Komatsu,PC1250,9.1,5.7,16700,700,Max,11600
Komatsu,PC1250,7.8,3.4,16700,700,4.6,59200
Komatsu,PC1250,7.8,3.4,16700,700,6.1,42000
Komatsu,PC1250,7.8,3.4,16700,700,7.6,33450
Komatsu,PC1250,7.8,3.4,16700,700,9.1,26050
Komatsu,PC1250,7.8,3.4,16700,700,10.7,21250
Komatsu,PC1250,7.8,3.4,16700,700,12.2,N/A
Komatsu,PC1250,7.8,3.4,16700,700,Max,19800
Hitachi,ZX490LCH-5-FXUC,7,3.4,9080,600,3,14480
Hitachi,ZX490LCH-5-FXUC,7,3.4,9080,600,4.5,17050
Hitachi,ZX490LCH-5-FXUC,7,3.4,9080,600,6,11900
Hitachi,ZX490LCH-5-FXUC,7,3.4,9080,600,7.5,8740
Hitachi,ZX490LCH-5-FXUC,7,3.4,9080,600,9,6850
Hitachi,ZX490LCH-5-FXUC,7,3.4,9080,600,Max,5940
Hitachi,ZX490LCH-5-FXUC,7,2.9,9080,600,3,17230
Hitachi,ZX490LCH-5-FXUC,7,2.9,9080,600,4.5,17910
Hitachi,ZX490LCH-5-FXUC,7,2.9,9080,600,6,11860
Hitachi,ZX490LCH-5-FXUC,7,2.9,9080,600,7.5,8740
Hitachi,ZX490LCH-5-FXUC,7,2.9,9080,600,9,6900
Hitachi,ZX490LCH-5-FXUC,7,2.9,9080,600,Max,6540
Hitachi,ZX490LCH-5-FXUC,6.3,2.9,9080,600,3,26240
Hitachi,ZX490LCH-5-FXUC,6.3,2.9,9080,600,4.5,18710
Hitachi,ZX490LCH-5-FXUC,6.3,2.9,9080,600,6,12260
Hitachi,ZX490LCH-5-FXUC,6.3,2.9,9080,600,7.5,9050
Hitachi,ZX490LCH-5-FXUC,6.3,2.9,9080,600,9,N/A
Hitachi,ZX490LCH-5-FXUC,6.3,2.9,9080,600,Max,7340
Hitachi,ZX490LCH-5-FXUC,6.3,2.5,9080,600,3,N/A
Hitachi,ZX490LCH-5-FXUC,6.3,2.5,9080,600,4.5,18510
Hitachi,ZX490LCH-5-FXUC,6.3,2.5,9080,600,6,12150
Hitachi,ZX490LCH-5-FXUC,6.3,2.5,9080,600,7.5,9000
Hitachi,ZX490LCH-5-FXUC,6.3,2.5,9080,600,9,N/A
Hitachi,ZX490LCH-5-FXUC,6.3,2.5,9080,600,Max,7600
Hitachi,ZX490LCH-5-VGUC,7,3.4,9080,600,3,14970
Hitachi,ZX490LCH-5-VGUC,7,3.4,9080,600,4.5,17030
Hitachi,ZX490LCH-5-VGUC,7,3.4,9080,600,6,11850
Hitachi,ZX490LCH-5-VGUC,7,3.4,9080,600,7.5,8710
Hitachi,ZX490LCH-5-VGUC,7,3.4,9080,600,9,6820
Hitachi,ZX490LCH-5-VGUC,7,3.4,9080,600,Max,5920
Hitachi,ZX490LCH-5-VGUC,7,2.9,9080,600,3,17960
Hitachi,ZX490LCH-5-VGUC,7,2.9,9080,600,4.5,17600
Hitachi,ZX490LCH-5-VGUC,7,2.9,9080,600,6,11820
Hitachi,ZX490LCH-5-VGUC,7,2.9,9080,600,7.5,8710
Hitachi,ZX490LCH-5-VGUC,7,2.9,9080,600,9,6870
Hitachi,ZX490LCH-5-VGUC,7,2.9,9080,600,Max,6520
Hitachi,ZX490LCH-5-VGUC,6.3,2.9,9080,600,3,26930
Hitachi,ZX490LCH-5-VGUC,6.3,2.9,9080,600,4.5,18660
Hitachi,ZX490LCH-5-VGUC,6.3,2.9,9080,600,6,12220
Hitachi,ZX490LCH-5-VGUC,6.3,2.9,9080,600,7.5,9020
Hitachi,ZX490LCH-5-VGUC,6.3,2.9,9080,600,9,N/A
Hitachi,ZX490LCH-5-VGUC,6.3,2.9,9080,600,Max,7320
Hitachi,ZX490LCH-5-VGUC,6.3,2.5,9080,600,3,N/A
Hitachi,ZX490LCH-5-VGUC,6.3,2.5,9080,600,4.5,18450
Hitachi,ZX490LCH-5-VGUC,6.3,2.5,9080,600,6,12110
Hitachi,ZX490LCH-5-VGUC,6.3,2.5,9080,600,7.5,8970
Hitachi,ZX490LCH-5-VGUC,6.3,2.5,9080,600,9,N/A
Hitachi,ZX490LCH-5-VGUC,6.3,2.5,9080,600,Max,7570
Hitachi,ZX490LCH-7,6.3,2.9,9080,600,3,24140
Hitachi,ZX490LCH-7,6.3,2.9,9080,600,4.5,20330
Hitachi,ZX490LCH-7,6.3,2.9,9080,600,6,13190
Hitachi,ZX490LCH-7,6.3,2.9,9080,600,7.5,9700
Hitachi,ZX490LCH-7,6.3,2.9,9080,600,9,N/A
Hitachi,ZX490LCH-7,6.3,2.9,9080,600,Max,7670
Hitachi,ZX490LCH-7,7,3.4,9080,600,3,13320
Hitachi,ZX490LCH-7,7,3.4,9080,600,4.5,15200
Hitachi,ZX490LCH-7,7,3.4,9080,600,6,12760
Hitachi,ZX490LCH-7,7,3.4,9080,600,7.5,9330
Hitachi,ZX490LCH-7,7,3.4,9080,600,9,7290
Hitachi,ZX490LCH-7,7,3.4,9080,600,Max,6310
Hitachi,ZX690LCH-5,7.8,3.6,10400,650,3,24330
Hitachi,ZX690LCH-5,7.8,3.6,10400,650,4.5,16400
Hitachi,ZX690LCH-5,7.8,3.6,10400,650,6,17700
Hitachi,ZX690LCH-5,7.8,3.6,10400,650,7.5,14730
Hitachi,ZX690LCH-5,7.8,3.6,10400,650,9,11420
Hitachi,ZX690LCH-5,7.8,3.6,10400,650,10.5,9320
Hitachi,ZX690LCH-5,7.8,3.6,10400,650,Max,8800
Hitachi,ZX690LCH-5,6.8,2.9,10400,650,3,40280
Hitachi,ZX690LCH-5,6.8,2.9,10400,650,4.5,24650
Hitachi,ZX690LCH-5,6.8,2.9,10400,650,6,18660
Hitachi,ZX690LCH-5,6.8,2.9,10400,650,7.5,15320
Hitachi,ZX690LCH-5,6.8,2.9,10400,650,9,12010
Hitachi,ZX690LCH-5,6.8,2.9,10400,650,10.5,N/A
Hitachi,ZX690LCH-5,6.8,2.9,10400,650,Max,11210
Hitachi,ZX690LCH-7,6.8,2.9,10400,650,3,37780
Hitachi,ZX690LCH-7,6.8,2.9,10400,650,4.5,24230
Hitachi,ZX690LCH-7,6.8,2.9,10400,650,6,18340
Hitachi,ZX690LCH-7,6.8,2.9,10400,650,7.5,11160
Hitachi,ZX690LCH-7,6.8,2.9,10400,650,9,12330
Hitachi,ZX690LCH-7,6.8,2.9,10400,650,10,N/A
Hitachi,ZX690LCH-7,6.8,2.9,10400,650,Max,11510
Hitachi,ZX690LCH-7,7.8,3.6,10400,650,3,22480
Hitachi,ZX690LCH-7,7.8,3.6,10400,650,4.5,15110
Hitachi,ZX690LCH-7,7.8,3.6,10400,650,6,17430
Hitachi,ZX690LCH-7,7.8,3.6,10400,650,7.5,15130
Hitachi,ZX690LCH-7,7.8,3.6,10400,650,9,11740
Hitachi,ZX690LCH-7,7.8,3.6,10400,650,10,9580
Hitachi,ZX690LCH-7,7.8,3.6,10400,650,Max,9050
Hitachi,ZX890LCH-5,7.1,2.95,13300,650,3,44700
Hitachi,ZX890LCH-5,7.1,2.95,13300,650,4.5,31130
Hitachi,ZX890LCH-5,7.1,2.95,13300,650,6,24510
Hitachi,ZX890LCH-5,7.1,2.95,13300,650,7.5,21100
Hitachi,ZX890LCH-5,7.1,2.95,13300,650,9,16440
Hitachi,ZX890LCH-5,7.1,2.95,13300,650,10.5,N/A
Hitachi,ZX890LCH-5,7.1,2.95,13300,650,Max,14420
Hitachi,ZX890LCH-5,7.1,3.7,13300,650,3,26990
Hitachi,ZX890LCH-5,7.1,3.7,13300,650,4.5,27520
Hitachi,ZX890LCH-5,7.1,3.7,13300,650,6,29030
Hitachi,ZX890LCH-5,7.1,3.7,13300,650,7.5,19990
Hitachi,ZX890LCH-5,7.1,3.7,13300,650,9,16140
Hitachi,ZX890LCH-5,7.1,3.7,13300,650,10.5,13690
Hitachi,ZX890LCH-5,7.1,3.7,13300,650,Max,11740
Hitachi,ZX890LCH-5,8.4,3.7,13300,650,3,25530
Hitachi,ZX890LCH-5,8.4,3.7,13300,650,4.5,23250
Hitachi,ZX890LCH-5,8.4,3.7,13300,650,6,24210
Hitachi,ZX890LCH-5,8.4,3.7,13300,650,7.5,19190
Hitachi,ZX890LCH-5,8.4,3.7,13300,650,9,15580
Hitachi,ZX890LCH-5,8.4,3.7,13300,650,10.5,12630
Hitachi,ZX890LCH-5,8.4,3.7,13300,650,Max,10890
Hitachi,ZX890LCH-7,7.1,2.95,13300,650,3,41830
Hitachi,ZX890LCH-7,7.1,2.95,13300,650,4.5,30270
Hitachi,ZX890LCH-7,7.1,2.95,13300,650,6,23910
Hitachi,ZX890LCH-7,7.1,2.95,13300,650,7.5,21240
Hitachi,ZX890LCH-7,7.1,2.95,13300,650,9,16590
Hitachi,ZX890LCH-7,7.1,2.95,13300,650,10.5,N/A
Hitachi,ZX890LCH-7,7.1,2.95,13300,650,Max,14600
Hitachi,ZX890LCH-7,8.4,3.7,13300,650,3,N/A
Hitachi,ZX890LCH-7,8.4,3.7,13300,650,4.5,28450
Hitachi,ZX890LCH-7,8.4,3.7,13300,650,6,23450
Hitachi,ZX890LCH-7,8.4,3.7,13300,650,7.5,18600
Hitachi,ZX890LCH-7,8.4,3.7,13300,650,9,15580
Hitachi,ZX890LCH-7,8.4,3.7,13300,650,10.5,12640
Hitachi,ZX890LCH-7,8.4,3.7,13300,650,Max,10930
Kobelco,SK500XD LC,7,3.45,9800,600,3,15570
Kobelco,SK500XD LC,7,3.45,9800,600,4.5,17800
Kobelco,SK500XD LC,7,3.45,9800,600,6,12620
Kobelco,SK500XD LC,7,3.45,9800,600,7.5,9290
Kobelco,SK500XD LC,7,3.45,9800,600,9,7300
Kobelco,SK500XD LC,7,3.45,9800,600,Max,6280
Kobelco,SK500XD LC,7,3,9800,600,3,14690
Kobelco,SK500XD LC,7,3,9800,600,4.5,18600
Kobelco,SK500XD LC,7,3,9800,600,6,12670
Kobelco,SK500XD LC,7,3,9800,600,7.5,9350
Kobelco,SK500XD LC,7,3,9800,600,9,7410
Kobelco,SK500XD LC,7,3,9800,600,Max,6640
Kobelco,SK520XD LC,6.5,2.6,11200,600,3,28180
Kobelco,SK520XD LC,6.5,2.6,11200,600,4.5,16690
Kobelco,SK520XD LC,6.5,2.6,11200,600,6,13130
Kobelco,SK520XD LC,6.5,2.6,11200,600,7.5,10440
Kobelco,SK520XD LC,6.5,2.6,11200,600,9,8330
Kobelco,SK520XD LC,6.5,2.6,11200,600,Max,8140
Kobelco,SK850 LC,8.25,3.6,13300,650,3,25790
Kobelco,SK850 LC,8.25,3.6,13300,650,4.5,23770
Kobelco,SK850 LC,8.25,3.6,13300,650,6,20110
Kobelco,SK850 LC,8.25,3.6,13300,650,7.5,17640
Kobelco,SK850 LC,8.25,3.6,13300,650,9,14130
Kobelco,SK850 LC,8.25,3.6,13300,650,10.5,11980
Kobelco,SK850 LC,8.25,3.6,13300,650,Max,10650
Kobelco,SK850 LC,7.25,2.9,16300,650,3,39190
Kobelco,SK850 LC,7.25,2.9,16300,650,4.5,26740
Kobelco,SK850 LC,7.25,2.9,16300,650,6,21380
Kobelco,SK850 LC,7.25,2.9,16300,650,7.5,18680
Kobelco,SK850 LC,7.25,2.9,16300,650,9,17770
Kobelco,SK850 LC,7.25,2.9,16300,650,10.5,N/A
Kobelco,SK850 LC,7.25,2.9,16300,650,Max,15400
Volvo,EC950F,7.25,2.95,16100,650,3,31400
Volvo,EC950F,7.25,2.95,16100,650,4.5,28200
Volvo,EC950F,7.25,2.95,16100,650,6,22570
Volvo,EC950F,7.25,2.95,16100,650,7.5,23410
Volvo,EC950F,7.25,2.95,16100,650,9,19050
Volvo,EC950F,7.25,2.95,16100,650,10.5,N/A
Volvo,EC950F,7.25,2.95,16100,650,Max,17010
Volvo,EC950F,8.4,2.95,16100,650,3,N/A
Volvo,EC950F,8.4,2.95,16100,650,4.5,27570
Volvo,EC950F,8.4,2.95,16100,650,6,15720
Volvo,EC950F,8.4,2.95,16100,650,7.5,19820
Volvo,EC950F,8.4,2.95,16100,650,9,17990
Volvo,EC950F,8.4,2.95,16100,650,10.5,14580
Volvo,EC950F,8.4,2.95,16100,650,Max,13770
Volvo,EC950F,8.4,3.7,16100,650,3,29970
Volvo,EC950F,8.4,3.7,16100,650,4.5,24420
Volvo,EC950F,8.4,3.7,16100,650,6,20710
Volvo,EC950F,8.4,3.7,16100,650,7.5,16030
Volvo,EC950F,8.4,3.7,16100,650,9,17490
Volvo,EC950F,8.4,3.7,16100,650,10.5,14470
Volvo,EC950F,8.4,3.7,16100,650,Max,12550
Volvo,EC950F,7.25,2.95,16100,750,3,31400
Volvo,EC950F,7.25,2.95,16100,750,4.5,28200
Volvo,EC950F,7.25,2.95,16100,750,6,22570
Volvo,EC950F,7.25,2.95,16100,750,7.5,23410
Volvo,EC950F,7.25,2.95,16100,750,9,19220
Volvo,EC950F,7.25,2.95,16100,750,10.5,N/A
Volvo,EC950F,7.25,2.95,16100,750,Max,17160
Volvo,EC950F,8.4,2.95,16100,750,3,N/A
Volvo,EC950F,8.4,2.95,16100,750,4.5,27570
Volvo,EC950F,8.4,2.95,16100,750,6,15720
Volvo,EC950F,8.4,2.95,16100,750,7.5,19820
Volvo,EC950F,8.4,2.95,16100,750,9,18100
Volvo,EC950F,8.4,2.95,16100,750,10.5,14720
Volvo,EC950F,8.4,2.95,16100,750,Max,13830
Volvo,EC950F,8.4,3.7,16100,750,3,29970
Volvo,EC950F,8.4,3.7,16100,750,4.5,24420
Volvo,EC950F,8.4,3.7,16100,750,6,20710
Volvo,EC950F,8.4,3.7,16100,750,7.5,16030
Volvo,EC950F,8.4,3.7,16100,750,9,17490
Volvo,EC950F,8.4,3.7,16100,750,10.5,14610
Volvo,EC950F,8.4,3.7,16100,750,Max,12770
Volvo,EC950F,7.25,2.95,16100,900,3,31400
Volvo,EC950F,7.25,2.95,16100,900,4.5,28200
Volvo,EC950F,7.25,2.95,16100,900,6,22570
Volvo,EC950F,7.25,2.95,16100,900,7.5,23410
Volvo,EC950F,7.25,2.95,16100,900,9,19450
Volvo,EC950F,7.25,2.95,16100,900,10.5,N/A
Volvo,EC950F,7.25,2.95,16100,900,Max,17370
Volvo,EC950F,8.4,2.95,16100,900,3,N/A
Volvo,EC950F,8.4,2.95,16100,900,4.5,27570
Volvo,EC950F,8.4,2.95,16100,900,6,15720
Volvo,EC950F,8.4,2.95,16100,900,7.5,19820
Volvo,EC950F,8.4,2.95,16100,900,9,18330
Volvo,EC950F,8.4,2.95,16100,900,10.5,14910
Volvo,EC950F,8.4,2.95,16100,900,Max,14000
Volvo,EC950F,8.4,3.7,16100,900,3,29970
Volvo,EC950F,8.4,3.7,16100,900,4.5,24420
Volvo,EC950F,8.4,3.7,16100,900,6,20710
Volvo,EC950F,8.4,3.7,16100,900,7.5,16030
Volvo,EC950F,8.4,3.7,16100,900,9,17490
Volvo,EC950F,8.4,3.7,16100,900,10.5,14800
Volvo,EC950F,8.4,3.7,16100,900,Max,12840
Volvo,EC950E,7.25,2.95,16100,650,3,31420
Volvo,EC950E,7.25,2.95,16100,650,4.5,28250
Volvo,EC950E,7.25,2.95,16100,650,6,22610
Volvo,EC950E,7.25,2.95,16100,650,7.5,23460
Volvo,EC950E,7.25,2.95,16100,650,9,18610
Volvo,EC950E,7.25,2.95,16100,650,10.5,N/A
Volvo,EC950E,7.25,2.95,16100,650,Max,16620
Volvo,EC950E,8.4,2.95,16100,650,3,N/A
Volvo,EC950E,8.4,2.95,16100,650,4.5,27830
Volvo,EC950E,8.4,2.95,16100,650,6,15920
Volvo,EC950E,8.4,2.95,16100,650,7.5,20020
Volvo,EC950E,8.4,2.95,16100,650,9,17860
Volvo,EC950E,8.4,2.95,16100,650,10.5,14340
Volvo,EC950E,8.4,2.95,16100,650,Max,13470
Volvo,EC950E,8.4,3.7,16100,650,3,30090
Volvo,EC950E,8.4,3.7,16100,650,4.5,24690
Volvo,EC950E,8.4,3.7,16100,650,6,20940
Volvo,EC950E,8.4,3.7,16100,650,7.5,16420
Volvo,EC950E,8.4,3.7,16100,650,9,17580
Volvo,EC950E,8.4,3.7,16100,650,10.5,14240
Volvo,EC950E,8.4,3.7,16100,650,Max,12370
